Date,User,Message
2022-09-29 15:34:17,"V / CV","V / CV님이 들어왔습니다.
운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다."
2022-09-29 18:37:42,"딥린이/CV","딥린이/CV님이 들어왔습니다."
2022-09-29 18:48:07,"단호한 프로도","단호한 프로도님이 들어왔습니다."
2022-09-29 18:49:55,"단호한 프로도","단호한 프로도님이 나갔습니다."
2022-09-29 22:53:40,"산산/recsys","오늘도 고생많으셨습니다 "
2022-09-29 22:55:11,"하하/recsys","고생했습니다 ㅎㅎ"
2022-09-29 22:57:09,"리듬타는/CV","이모티콘"
2022-09-29 22:57:39,"퇴근하는 프로도 / cv","이모티콘"
2022-09-29 22:57:57,"어피치/cv","이거 귀엽네요 ㅋㅋㅋㅋㅋㅋ"
2022-09-29 22:58:11,"어피치/cv","numpy곤 ㅋㅋㅋㅋㅋ"
2022-09-29 22:58:21,"하용/NLP","ㅋㅋㅋㅋㅋㅋ어지럽네요"
2022-09-29 22:58:27,"하용/NLP","ㅋㅋㅋㅋㅋㅋ"
2022-09-30 00:18:56,"기뻐하는 라이언/cv","학습종료 핸드폰으로도 되나요 ? 혹시 해보신분 있는지 궁금합니다"
2022-09-30 00:37:50,"멋쟁이 프로도/CV","핸드폰으로는 버튼이 안뜰걸요?"
2022-09-30 00:41:20,"기뻐하는 라이언/cv","감사합니당"
2022-09-30 00:41:23,"어피치/cv","사진"
2022-09-30 00:41:29,"어피치/cv","데스크톱 사이트 모드로하면 뜨네요"
2022-09-30 00:41:41,"기뻐하는 라이언/cv","아이고 감사합니닼ㅋㅋ"
2022-09-30 00:41:55,"어피치/cv","넹 ㅎㅎ"
2022-09-30 00:41:58,"기뻐하는 라이언/cv","불금,,"
2022-10-01 16:03:29,"딥린이/CV","딥린이/CV님이 들어왔습니다."
2022-10-01 19:40:05,"S/CV","S/CV님이 들어왔습니다."
2022-10-03 20:28:13,"하하/recsys","저 근데 심화 과제 해설이 원래 저번주 토요일까지만 수강할 수 있었나요?"
2022-10-03 20:29:08,"하하/recsys","10월 9일까지 수강할 수 있는 줄 알았는데..."
2022-10-03 20:30:59,"즐거운 네오/CV","어떤 심화과제 해설이요??"
2022-10-03 20:32:11,"하하/recsys","지난주 심화과제요~"
2022-10-03 20:32:26,"하하/recsys","pytorch 심화과제요"
2022-10-03 20:33:58,"멋쟁이 프로도/CV","엥 일주일은 기간 주던데"
2022-10-03 20:33:59,"멋쟁이 프로도/CV","아닌가요"
2022-10-03 20:34:13,"하하/recsys","혹시 확인되시나여"
2022-10-03 20:35:05,"하하/recsys","앗!"
2022-10-03 20:35:12,"하하/recsys","제가 못 찾았네요!"
2022-10-03 20:35:15,"하하/recsys","발견했습니다!!!!"
2022-10-03 20:35:30,"하하/recsys","사진"
2022-10-03 20:35:43,"하하/recsys","Pytorch 항목으로 들어가면 나오네요"
2022-10-04 17:51:41,"./NLP","rnn 퀴즈 푸신 분 계신가요??"
2022-10-04 18:00:09,"멋쩍은 튜브/CV","Attn값 구하기요?"
2022-10-04 18:03:49,"./NLP","네"
2022-10-04 18:04:17,"멋쩍은 튜브/CV","아뇨ㅠ"
2022-10-04 18:04:37,"산산/recsys","저는 3강 듣고있어요"
2022-10-04 18:04:38,"산산/recsys","ㅜㅜ"
2022-10-04 18:04:47,"./NLP","설마 공백 이슈는 아니겠죠..."
2022-10-04 18:06:46,"멋쩍은 튜브/CV","q,k,v 없이 인코딩값만으로는 계산 못할것 같은데..."
2022-10-04 18:07:28,"./NLP","q, k, v 전부 1111 2222 1111로 보고 계산하긴 했어요"
2022-10-04 18:08:51,"멋쩍은 튜브/CV","서로 다른단어인데
같은 쿼리일수는 없을것 같아서요"
2022-10-04 18:09:42,"멋쩍은 튜브/CV","문제에 오류가 있지 않을까 싶어서 기다리고 있어요"
